Index   Freq
0   183.7263
1   185.165
2   186.64
3   188.16
4   189.72
5   191.33
6   192.97
7   194.66
8   196.25
9   198.03
10  199.86
11  201.73
12  203.66
13  205.64
14  207.67
15  209.77
16  211.74
17  213.94
18  216.21
19  218.55
20  220.95
21  223.42
22  225.96
23  228.58
24  230.68
25  232.50
26  234.35
27  236.25
28  238.18
29  240.15
30  242.16
31  244.21
32  246.31
33  248.45
34  250.63
35  252.85
36  254.96
37  257.28
38  259.65
39  262.07
40  264.54
41  267.07
42  269.65
43  272.29
44  274.98
45  277.74
46  280.57
47  283.45
48  286.18
49  289.19
50  292.28
51  295.44
52  298.67
53  301.99
54  305.38
55  308.86
56  312.42
57  316.07
58  319.82
59  323.65
